Dish,Calorie_per_100g,Carbohydrate_per_100g,Protein_per_100g,Fat_per_100g,Source
kulfi,193,24.4,4.5,7.6,https://www.fitatu.com/catalog/en/kulfi--1840610
pakora,246,15,16,13,https://www.fitatu.com/catalog/a/pakora--89463945
boondi,584,39.55,13.75,41.17,https://www.fatsecret.co.in/calories-nutrition/haldirams/boondi/100g
phirni,116.12,16.11,3.49,4.34,https://www.anuvaad.org.in/nutrition-fact/phirni/
tilkut,238,30.16,4.43,12.38,https://www.fatsecret.com.sg/calories-nutrition/generic/tilkut
Chilla,135.93,21.03,7.8,2.85,https://www.anuvaad.org.in/nutrition-fact/gram-flour-chilla-cheela-besan-chilla-cheela/
Handvo,207.09,31.86,8.24,4.8,https://www.anuvaad.org.in/nutrition-fact/gujarati-handvo/
Basundi,192,18,5.3,11,https://www.fatsecret.co.in/calories-nutrition/amul/basundi/100g
Litti chokha,140,20,4,4,https://www.snapcalorie.com/nutrition/litti_chokha_nutrition.html
kothimbirvadi,90,14.32,4.11,2.24,https://www.fatsecret.co.in/calories-nutrition/generic/kothimbir-vadi?portionid=52275805&portionamount=100.000
Soya chaap,106,11,10,2.1,https://fitia.app/calories-nutritional-information/soya-chaap-22006729/
sabudanakhichdi,199,30.1,2.72,7.91,https://www.fatsecret.co.in/calories-nutrition/generic/sabudana-khichdi
shevbhaji,140,16,3.2,4.2,https://www.snapcalorie.com/nutrition/sev_bhaji_nutrition.html
jeerarice,160,24,2,6.4,https://www.mynetdiary.com/food/calories-in-jeera-cumin-rice-by-mtr-gram-33996129-0.html
Chettinad chicken,180,7.19,16.22,10,https://www.fatsecret.co.in/calories-nutrition/generic/chicken-chettinad
masortenga,140,8,10,7,https://www.nutribit.app/nutrient/tenga-masor-nutrition-guide
Chikki,483,53.56,14,26.8,https://www.fatsecret.co.in/calories-nutrition/generic/chikki?portionid=7168197&portionamount=100.000
moongdalhalwa,349.8,40.23,8.35,17.68,https://www.anuvaad.org.in/nutrition-fact/moong-dal-halwa/
avial,108,14.11,1.83,5.78,https://www.fatsecret.co.in/calories-nutrition/generic/avial
dalbati,183.6,22,7.3,7.9,https://www.nutritionix.com/i/nutritionix/dal-baati-1-baati-with-dal/5cfeaea1793b796f286bc968
malaikofta,184,11.4,8,12.1,https://www.nutritionix.com/i/deep/malai-kofta-vegetarian/551754b34d8d0fc71bfd5d3f
chickenchangezi,140,4,12,8,https://www.snapcalorie.com/nutrition/chicken_changezi_nutrition.html
pesarattu,285.96,31.91,12.32,11.67,https://www.anuvaad.org.in/nutrition-fact/moong-bean-dosa-pesarattu
patishapta,234,42.56,8.73,4.26,https://www.fatsecret.co.uk/calories-nutrition/generic/patishapta?portionid=57423198&portionamount=100.000
chingrimalaicurry,120,8,13,12,https://diabetesindia.com/diabetes-causes-preventions/recipes/west-bengal/wb_dab_chingri.html
pootharekulu,318.3,59.61,3.66,7.55,https://www.anuvaad.org.in/nutrition-fact/putharekulu/
imarti,226,31.71,3.14,10.6,https://www.fatsecret.co.nz/calories-nutrition/generic/imarti?portionid=53557016&portionamount=100.000
upma,208,38,6.5,4,https://maxprotein.in/blogs/calories/upma?srsltid=AfmBOooSI4As2quUxGCyS_710bwYoWg7_KsoeNwlhEV5uAD38_Pyfbuk
Jalebi,300,62.36,4.19,4.31,https://foods.fatsecret.com/calories-nutrition/generic/jalebi?portionamount=100.000&portionid=16477981
